Customer Code,Capacity in KW,State,District,Latitude,Longitude,Total Cost (Rs),CFA (Rs),Commissioning Date(installation date),Approval Number,Financial Year,Installed by Agency
36826,2.00,MAHARASHTRA,Satara,17.689643545802,73.990628728643,0,0.00,23-06-2017,---,---,Phoenix Solar Systems Pvt Ltd
36825,784.00,PUNJAB,Ludhiana,30.504916272830,76.796406526118,0,0.00,26-03-2017,---,---,Purshotam Profiles Pvt Ltd
36824,1.10,MAHARASHTRA,Mumbai,21.11,72.51,0,0.00,17-06-2017,---,---,SWELECT Energy Systems Limited
36820,10.00,TAMIL NADU,Thiruvallur,12.965701700944,79.949002414941,800000,0.00,10-05-2017,---,---,Vigor Solar Energy Pvt Ltd
36818,10.00,GUJARAT,Junagadh,22.239972817404,68.958592593844,0,0.00,05-12-2016,---,---,Star Energy Systems
36809,20.00,TAMIL NADU,Chennai,13.096031833865,80.218506932296,0,0.00,15-05-2017,---,---,VOLTECH ENGINEERS PVT LTD
36805,2.00,KERALA,Thiruvananthapuram,8.49,76.95,191800,48000.00,29-09-2016,5/38/2013-14/RT,2014-2015,"Agency for Non-Conventional Energy and  Rural Technology (ANERT),"
36782,25.20,MAHARASHTRA,Chandrapur,19.985431146060,79.232142895525,1680000,0.00,15-04-2017,---,---,Hasan Marketing Private Limited
36779,0.34,HARYANA,Kurukshetra,29.97331,76.85444,15800,0.00,04-04-2017,---,---,NEXA SOLAR PRIVATE LIMITED
36763,13.00,GUJARAT,Junagadh,20.924464945598,70.350681067211,0,0.00,12-12-2016,---,---,Star Energy Systems
36758,10.00,TAMIL NADU,Erode,11.20,77.46,0,0.00,29-05-2017,---,---,SWELECT Energy Systems Limited
36744,2000.00,GUJARAT,Anand,22.304454811296,72.725944463163,0,0.00,31-03-2017,---,---,Prozeal Infra Engineering Private Limited
36743,10.00,TAMIL NADU,Thiruvallur,12.962959130068,79.948046207427,800000,0.00,15-05-2017,---,---,Vigor Solar Energy Pvt Ltd
36741,100.00,KARNATAKA,Dharwad,15.35139,75.0260667,5950000,0.00,05-05-2017,---,---,Orb Energy Pvt Ltd
36735,10.00,KARNATAKA,Udupi,13.175353,74.879951800000,875000,0.00,25-04-2017,---,---,Orb Energy Pvt Ltd
36733,20.00,TAMIL NADU,Salem,11.47,77.87,1268185,0.00,27-05-2017,---,---,SWELECT Energy Systems Limited
36730,18.00,GUJARAT,Junagadh,20.911331968730,70.353298366244,0,0.00,12-12-2016,---,---,Star Energy Systems
36722,3.00,KERALA,Thiruvananthapuram,8.29,76.58,278700,72000.00,18-05-2016,5/38/2013-14/RT,2014-2015,"Agency for Non-Conventional Energy and  Rural Technology (ANERT),"
36707,1.00,TAMIL NADU,Theni,10.022602,77.350924,0,0.00,10-04-2017,---,---,Freesun Energy
36703,3.00,KARNATAKA,Bangalore,12.885897,77.647362,0,0.00,02-06-2017,---,---,PlaySolar Systems Private Limited
36700,5.00,MADHYA PRADESH,Bhopal,23.250887923320,77.439170569186,225000,0.00,06-04-2017,---,---,ADITI SALES
36697,40.00,KARNATAKA,Bangalore,13.015811,77.539023700000,2600000,0.00,10-05-2017,---,---,Orb Energy Pvt Ltd
