Customer Code,Capacity in KW,State,District,Latitude,Longitude,Total Cost (Rs),CFA (Rs),Commissioning Date(installation date),Approval Number,Financial Year,Installed by Agency
44431,1.00,HARYANA,Faridabad,28.4089123,77.317789400000,0,0.00,30-06-2017,---,---,EDGE MOTON CONTROLS PVT LTD
44417,10.00,GUJARAT,Vadodara,22.315904106147,73.118381649255,690000,207000.00,15-07-2016,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44405,2.00,GUJARAT,Bharuch,21.704203399999,72.982666800000,138000,41400.00,08-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44401,2.00,GUJARAT,Bharuch,21.6264236,73.015198400000,138000,41400.00,16-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44399,2.00,GUJARAT,Bharuch,21.7142143,73.031672699999,138000,41400.00,18-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44398,2.00,GUJARAT,Ahmadabad,23.024349,72.530152,138000,48000.00,20-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44395,2.00,GUJARAT,Bharuch,21.7142143,73.031672699999,138000,41400.00,18-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44390,3.00,GUJARAT,Bharuch,22.0526258,72.788767799999,207000,62100.00,31-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44388,2.00,GUJARAT,Bharuch,21.7175081,73.008057600000,138000,41400.00,06-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44339,20.00,MAHARASHTRA,Nagpur,21.080976328135,79.231681823730,0,0.00,25-07-2017,---,---,Gurukrupa Solar Trading Corporation
44306,3.00,GUJARAT,Vadodara,22.312771,73.258844,207000,62100.00,21-04-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44303,2.00,GUJARAT,Vadodara,22.338646,73.189537,138000,41400.00,22-04-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44299,2.00,GUJARAT,Vadodara,22.318874,73.139386,138000,41400.00,03-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44297,3.00,GUJARAT,Surat,21.264388,72.951962,207000,72000.00,06-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44296,1.00,GUJARAT,Rajkot,22.272696,70.740636,69000,20700.00,02-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44292,1.00,GUJARAT,Rajkot,22.296405,70.794156,69000,24000.00,18-04-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44290,2.50,GUJARAT,Rajkot,22.272696,70.740636,172500,60000.00,01-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44283,5.00,GUJARAT,Rajkot,22.285982,70.712015,345000,103500.00,08-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44280,2.00,GUJARAT,Rajkot,22.303010,70.895234,138000,41400.00,18-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44276,2.00,GUJARAT,Morbi,22.550622,70.954680,138000,48000.00,20-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44272,2.00,GUJARAT,Kheda,22.687761,72.881086,138000,48000.00,11-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44269,2.00,GUJARAT,Junagadh,21.465693,70.449142,138000,41400.00,25-04-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44264,5.00,GUJARAT,Junagadh,21.512819,70.461043,345000,103500.00,04-04-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44257,2.00,GUJARAT,Junagadh,21.440189,70.189860,138000,41400.00,11-04-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44255,5.00,MAHARASHTRA,Nashik,20.5483527,74.527286199999,310000,0.00,30-06-2017,---,---,JADHAV POWERTECH
44252,2.00,GUJARAT,Junagadh,21.440189,70.189860,138000,48000.00,11-04-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44251,1.00,GUJARAT,Junagadh,21.440189,70.189860,69000,20700.00,11-04-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44250,5.00,GUJARAT,Jamnagar,22.418756,69.022512,345000,103500.00,06-04-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44248,1.00,GUJARAT,Junagadh,21.320612,70.441703,69000,20700.00,03-04-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44247,3.00,TAMIL NADU,Chennai,13.015449775566,80.227928766980,0,0.00,24-02-2017,---,---,PURE SINE MAXSOLAR PRIVATE LIMITED
44244,1.00,GUJARAT,Junagadh,21.055564,70.529468,69000,20700.00,11-04-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44242,2.00,GUJARAT,Junagadh,21.477722,70.332995,138000,41400.00,08-04-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44241,2.00,GUJARAT,Ahmadabad,23.088282,72.697893,138000,41400.00,03-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44240,5.00,MAHARASHTRA,Nashik,20.5483527,74.527286199999,310000,0.00,30-06-2017,---,---,JADHAV POWERTECH
44239,3.00,GUJARAT,Jamnagar,22.445420,70.068178,207000,62100.00,02-04-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44238,2.00,GUJARAT,Gandhinagar,23.104953,72.561066,138000,41400.00,03-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44217,2.00,GUJARAT,Ahmadabad,23.004475,72.553115,138000,41400.00,17-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44214,5.00,GUJARAT,Ahmadabad,23.088282,72.697893,345000,103500.00,16-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44209,2.00,GUJARAT,Ahmadabad,23.026990,72.523558,138000,41400.00,21-04-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44207,2.00,GUJARAT,Ahmadabad,23.019748,72.554644,138000,41400.00,19-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44202,2.00,GUJARAT,Ahmadabad,23.088282,72.697893,138000,41400.00,03-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44201,2.00,GUJARAT,Ahmadabad,23.088282,72.697893,138000,41400.00,16-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44200,6.90,GUJARAT,Ahmadabad,23.069739,72.506047,476100,142830.00,10-02-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44197,2.00,GUJARAT,Ahmadabad,23.088282,72.697893,138000,41400.00,03-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44196,2.00,GUJARAT,Sabar Kantha,23.597338,72.969493,138000,41400.00,17-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44193,3.00,GUJARAT,Surat,22.5645175,72.928871,207000,62100.00,26-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44192,3.00,GUJARAT,Ahmadabad,23.079720,72.574468,207000,62100.00,12-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44189,2.00,GUJARAT,Ahmadabad,23.088282,72.697893,138000,41400.00,03-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44176,49.50,KARNATAKA,Bangalore,12.981099920224,77.548047155141,0,0.00,30-05-2017,---,---,Bunt solar India Pvt Ltd
44173,3.00,GUJARAT,Ahmadabad,23.035793,72.437650,207000,62100.00,24-04-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44171,2.00,GUJARAT,Sabar Kantha,23.599757,72.367692,138000,41400.00,18-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44170,3.00,GUJARAT,Surat,21.158489,72.774103,207000,62100.00,15-02-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44168,3.00,GUJARAT,Surat,21.158569,72.774103,207000,62100.00,15-02-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44160,30.00,KARNATAKA,Ramanagara,12.655077952734,77.200485169887,0,0.00,06-06-2017,---,---,Bunt solar India Pvt Ltd
44104,3.00,GUJARAT,Surat,21.158399,72.77413,207000,62100.00,15-02-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44102,3.00,GUJARAT,Surat,21.158219,72.774118,207000,62100.00,15-02-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44101,3.00,GUJARAT,Surat,21.158399,72.77413,207000,62100.00,15-02-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44098,3.00,GUJARAT,Vadodara,22.329085,72.176358,207000,62100.00,04-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44097,2.00,GUJARAT,Vadodara,22.344967,73.169061,138000,41400.00,18-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44096,2.10,GUJARAT,Vadodara,22.316993,73.154267,144900,43470.00,16-02-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44081,2.00,GUJARAT,Vadodara,22.2700414,73.149728200000,138000,41400.00,25-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44080,2.00,MADHYA PRADESH,Bhopal,23.218496392365,77.450352162115,0,0.00,30-03-2017,---,---,Suvrat Edutech Pvt. Ltd.
44078,4.00,GUJARAT,Vadodara,22.2947946,73.145254000000,276000,82800.00,05-06-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44048,2.00,GUJARAT,Surat,21.203481,72.787452,138000,41400.00,22-02-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44045,2.00,GUJARAT,Vadodara,22.2945396,73.169543699999,138000,41400.00,27-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44037,15.00,GUJARAT,Mahesana,23.697381668545,72.553249597549,754350,226305.00,28-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44031,156.00,ORISSA,Cuttack,20.241631,85.987596,0,1872000.00,27-03-2017,3/10/2014-15/GCRT,2015-2016,Solar Energy Corporation of India
44030,3.00,GUJARAT,Vadodara,22.3116149,73.238837800000,207000,62100.00,27-04-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44026,3.25,GUJARAT,Surat,21.148496,72.778039,224250,67275.00,20-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44014,93.60,ORISSA,Khordha,20.278645,85.800811,0,2246400.00,29-03-2017,3/10/2014-15/GCRT,2015-2016,Solar Energy Corporation of India
44009,4.00,KERALA,Kozhikode,11.228397050822,75.815930385142,264000,0.00,20-07-2017,---,---,Nass Energy Solutions Private Limited
44008,106.00,ORISSA,Khordha,20.281703,85.800819,0,1272000.00,29-03-2017,3/10/2014-15/GCRT,2015-2016,Solar Energy Corporation of India
44004,2.00,KERALA,Kozhikode,11.258595658018,75.775354513898,202328,0.00,20-07-2017,---,---,Nass Energy Solutions Private Limited
43995,25.50,ORISSA,Khordha,20.2816256,85.8110415,0,306000.00,29-03-2017,3/10/2014-15/GCRT,2015-2016,Solar Energy Corporation of India
43992,2.00,GUJARAT,Vadodara,22.3338348,73.179376899999,138000,41400.00,07-04-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43991,2.00,GUJARAT,Vadodara,22.3231406,73.155045400000,138000,41400.00,05-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43988,84.60,JAMMU and KASHMIR,Jammu,32.73737,74.83676,0,1015600.00,29-03-2017,3/10/2014-15/GCRT,2015-2016,Solar Energy Corporation of India
43984,2.00,GUJARAT,Vadodara,22.2947468,73.164407999999,138000,41400.00,15-04-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43983,235.50,ORISSA,Cuttack,20.453859,85.934857,0,2826000.00,27-03-2017,3/10/2014-15/GCRT,2015-2016,Solar Energy Corporation of India
43982,50.00,GUJARAT,Ahmadabad,22.995557898061,72.610729336738,2900000,870000.00,28-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43978,3.00,GUJARAT,Vadodara,22.2947946,73.145254000000,207000,62100.00,19-04-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43973,190.00,ORISSA,Koraput,18.6932217,82.7994194,0,2280000.00,30-03-2017,3/10/2014-15/GCRT,2015-2016,Solar Energy Corporation of India
43971,2.00,GUJARAT,Sabar Kantha,23.5927136,72.9735177,138000,41400.00,26-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43968,2.00,GUJARAT,Sabar Kantha,23.5900304,72.9593862,138000,41400.00,23-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43966,3.00,GUJARAT,Surat,21.020002,72.84767,207000,62100.00,20-04-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43963,2.00,GUJARAT,Surat,21.177207,72.788648,138000,41400.00,20-12-2016,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43962,2.00,GUJARAT,Surat,21.177041940120,72.788685564883,138000,41400.00,20-12-2016,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43958,12.00,GUJARAT,Ahmadabad,23.030861,72.49761,780000,234000.00,28-10-2016,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43954,2.00,GUJARAT,Surat,21.2238098,72.8091103,138000,41400.00,20-12-2016,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43952,3.00,GUJARAT,Surat,21.238871,72.789382,206999,62100.00,31-12-2016,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43951,1.00,GUJARAT,Surat,21.209395,72.804165,69000,20700.00,06-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43948,6.00,KERALA,Kollam,8.8942287999999,76.608055400000,420000,0.00,01-06-2017,---,---,M G Marketing System MURICKENS GROUP(Murickens Marketing System LLP)
43945,2.00,GUJARAT,Sabar Kantha,23.588532,72.97489,138000,41400.00,05-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43944,3.00,GUJARAT,Surat,21.211349,72.794405,206999,62100.00,31-12-2016,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43942,1.00,GUJARAT,Mahesana,23.693658,72.539637,69000,24000.00,12-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43876,10.00,GUJARAT,Vadodara,22.3350951,73.208873499999,690000,207000.00,29-06-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43869,1.50,GUJARAT,Vadodara,22.336329639498,73.156277239322,103500,31050.00,05-07-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43867,12.00,GUJARAT,Vadodara,22.31,73.17,828000,248400.00,29-06-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43866,2.50,HARYANA,Gurgaon,28.2488594,77.069938699999,0,0.00,23-02-2017,---,---,RAYSUN POWER SOLUTIONS PVT LTD
43864,12.50,HARYANA,Gurgaon,28.377008,77.021540700000,0,0.00,28-02-2017,---,---,RAYSUN POWER SOLUTIONS PVT LTD
43863,3.00,GUJARAT,Vadodara,22.2842272,73.156624200000,207000,62100.00,28-06-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43861,2.00,GUJARAT,Vadodara,22.30,73.22,138000,41400.00,21-06-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43860,2.00,GUJARAT,Vadodara,22.2781772,73.1827154,138000,41400.00,23-06-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43859,1.00,GUJARAT,Vadodara,22.334051169242,73.140940703451,69000,20700.00,19-06-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43857,2.00,GUJARAT,Vadodara,22.2742572,73.188440200000,138000,41400.00,14-06-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43856,2.00,GUJARAT,Vadodara,22.2991305,73.220991299999,138000,41400.00,14-06-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43848,2.00,GUJARAT,Vadodara,22.29,73.22,138000,41400.00,05-07-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43846,5.00,GUJARAT,Vadodara,22.29,73.16,345000,103500.00,14-06-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43845,2.00,GUJARAT,Vadodara,22.294482,73.156567,138000,41400.00,14-06-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43842,2.00,GUJARAT,Vadodara,22.2394372,73.084797900000,138000,41400.00,16-06-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43841,2.00,GUJARAT,Vadodara,22.34,73.169629100000,138000,41400.00,17-06-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43840,2.00,GUJARAT,Vadodara,22.33,73.15,138000,41400.00,19-06-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43834,2.00,GUJARAT,Vadodara,22.33,73.18,138000,41400.00,05-07-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43832,2.00,GUJARAT,Porbandar,21.640383480138,69.624443650245,138000,41400.00,26-06-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43749,6.00,KARNATAKA,Dakshina Kannada,12.8580,74.8405,548000,0.00,22-06-2017,---,---,Sunray solar Systems
43746,6.00,KARNATAKA,Dakshina Kannada,12.986486,74.8021215,548000,0.00,06-04-2017,---,---,Sunray solar Systems
43742,10.00,KARNATAKA,Dakshina Kannada,12.8592,74.8484,920000,0.00,05-04-2017,---,---,Sunray solar Systems
43685,10.20,MAHARASHTRA,Akola,20.703815,77.013955000000,680000,0.00,20-07-2017,---,---,SKIPPER ENGINEERS
43676,25.00,WEST BENGAL,North Twenty Four Parganas,22.575695,88.436437,0,0.00,12-07-2017,---,---,Punam Energy Pvt Ltd
43671,60.00,UTTAR PRADESH,Bareilly,26.248888,81.379448,0,0.00,19-07-2017,---,---,Punam Energy Pvt Ltd
43661,1.00,GUJARAT,Vadodara,22.295067665012,73.170785186739,69000,20700.00,06-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43659,1.00,GUJARAT,Vadodara,22.307351999875,73.152658455028,69000,20700.00,11-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43658,2.00,GUJARAT,Vadodara,22.307085964091,73.164523094710,138000,41400.00,08-06-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43654,1.00,GUJARAT,Vadodara,22.2980252,73.173130399999,69000,20700.00,06-06-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43653,2.00,GUJARAT,Vadodara,22.269499084751,73.201909419331,138000,41400.00,02-06-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43652,2.00,GUJARAT,Vadodara,22.307454324492,73.130646049976,138000,41400.00,10-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43629,43.68,MADHYA PRADESH,Bhopal,23.2441255,77.407465199999,0,1048320.00,31-03-2017,5/25/2013-14/RT,2013-2014,M.P.Madhya Kshetra Vidyut Vitran Co.
43627,37.44,MADHYA PRADESH,Bhopal,23.186632,79.929976,0,898560.00,19-11-2016,5/25/2013-14/RT,2013-2014,M.P.Madhya Kshetra Vidyut Vitran Co.
43624,112.84,MADHYA PRADESH,Bhopal,23.187501,79.930555,0,2708160.00,28-11-2016,5/25/2013-14/RT,2013-2014,M.P.Madhya Kshetra Vidyut Vitran Co.
43611,15.00,RAJASTHAN,Jaipur,26.9075879,75.819482800000,1111000,0.00,21-04-2017,---,---,C & I SOLUTIONS
43604,10.00,RAJASTHAN,Jaipur,26.901285816017,75.817588466369,789000,0.00,03-04-2017,---,---,C & I SOLUTIONS
43598,2.00,GUJARAT,Vadodara,22.300538907263,73.153357654809,138000,41400.00,09-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43597,200.00,NCT OF DELHI,New Delhi,28.5865849,77.239519400000,0,2400000.00,28-03-2017,3/10/2014-15/GCRT,2015-2016,Solar Energy Corporation of India
43595,2.00,GUJARAT,Vadodara,22.300260968204,73.152628093957,138000,41400.00,10-06-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43592,50.00,MAHARASHTRA,Nashik,19.929454388522,73.934859323344,0,0.00,01-03-2017,---,---,APSUN Power Private Limited
43590,100.00,NCT OF DELHI,New Delhi,28.6257093,77.200633899999,0,1200000.00,31-03-2017,3/10/2014-15/GCRT,2015-2016,Solar Energy Corporation of India
43589,2.00,GUJARAT,Vadodara,22.3030802,73.1453424,138000,41400.00,01-06-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43584,1.00,GUJARAT,Vadodara,22.3002036,73.148790200000,69000,20700.00,01-06-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43582,80.00,NCT OF DELHI,New Delhi,28.585290399999,77.047544300000,0,960000.00,10-01-2017,3/10/2014-15/GCRT,2015-2016,Solar Energy Corporation of India
43581,1.00,GUJARAT,Surat,21.209466199999,72.781019900000,69000,20700.00,23-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43574,2.00,GUJARAT,Vadodara,22.304711881717,73.155962247401,138000,41400.00,03-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43572,266.24,MADHYA PRADESH,Bhopal,23.163631,79.969486,0,6389760.00,31-03-2017,5/25/2013-14/RT,2013-2014,M.P.Madhya Kshetra Vidyut Vitran Co.
43571,2.00,GUJARAT,Vadodara,22.332690721469,73.180177230387,138000,41400.00,11-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43570,160.00,NCT OF DELHI,New Delhi,28.6102049,77.221733999999,0,1920000.00,27-12-2016,3/10/2014-15/GCRT,2015-2016,Solar Energy Corporation of India
43566,500.00,HARYANA,Rohtak,28.8767972,76.621314400000,0,6000000.00,31-03-2017,3/10/2014-15/GCRT,2015-2016,Solar Energy Corporation of India
43563,217.10,MADHYA PRADESH,Bhopal,23.214689,79.959163,0,5210400.00,25-12-2016,5/25/2013-14/RT,2013-2014,M.P.Madhya Kshetra Vidyut Vitran Co.
43559,139.62,MADHYA PRADESH,Bhopal,79.959163,23.214689,0,3350880.00,25-12-2016,5/25/2013-14/RT,2013-2014,M.P.Madhya Kshetra Vidyut Vitran Co.
43557,200.00,HARYANA,Faridabad,28.4378326,77.321515800000,0,2400000.00,21-01-2017,3/10/2014-15/GCRT,2015-2016,Solar Energy Corporation of India
43556,89.90,MADHYA PRADESH,Bhopal,79.944861,23.166672,0,2157600.00,12-11-2016,5/25/2013-14/RT,2013-2014,M.P.Madhya Kshetra Vidyut Vitran Co.
43555,200.00,NCT OF DELHI,New Delhi,28.6114186,77.213160499999,0,2400000.00,06-02-2017,3/10/2014-15/GCRT,2015-2016,Solar Energy Corporation of India
43553,5.00,GUJARAT,Ahmadabad,23.022505,72.571362099999,345000,221500.00,03-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
43547,10.00,UTTAR PRADESH,Noida,28.5773799,77.314493599999,600000,0.00,12-07-2017,---,---,Oakridge Energy Private Ltd
43529,2.00,KERALA,Thiruvananthapuram,8.84,76.63,180369,48000.00,06-01-2017,5/38/2013-14/RT,2014-2015,"Agency for Non-Conventional Energy and  Rural Technology (ANERT),"
43527,5.00,WEST BENGAL,Barddhaman,23.23513,87.86341,0,0.00,10-07-2017,---,---,ANNAPURNA EXPORT
43523,22.20,GUJARAT,Valsad,20.527699123808,72.960994318127,0,0.00,04-04-2017,---,---,ACVA Solar Pvt. Ltd
43522,20.00,MAHARASHTRA,Nashik,19.991992,73.745662000000,0,0.00,20-04-2017,---,---,APSUN Power Private Limited
43514,200.00,NCT OF DELHI,New Delhi,28.616262,77.213528,0,2400000.00,04-01-2017,3/10/2014-15/GCRT,2015-2016,Solar Energy Corporation of India
43501,250.00,HARYANA,Faridabad,28.4069103,77.299081500000,0,3000000.00,21-01-2017,3/10/2014-15/GCRT,2015-2016,Solar Energy Corporation of India
43499,50.00,NCT OF DELHI,New Delhi,28.61745,77.19508,0,600000.00,29-09-2016,3/10/2014-15/GCRT,2015-2016,Solar Energy Corporation of India
43498,3.00,CHANDIGARH,Chandigarh,30.731707,76.749562,243000,67500.00,05-05-2017,03/106/2015-16/GCRT,2016-2017,"Chandigarh Renewable Energy, Science & Technology Promotion Society (CREST)"
43496,60.00,MAHARASHTRA,Nashik,19.944897678266,73.741942593442,0,0.00,23-03-2017,---,---,APSUN Power Private Limited
43495,65.52,MADHYA PRADESH,Bhopal,22.6702167,75.8315437,0,1572480.00,30-12-2016,5/25/2013-14/RT,2013-2014,M.P.Madhya Kshetra Vidyut Vitran Co.
43490,37.44,MADHYA PRADESH,Bhopal,22.7069346,75.839959299999,0,898560.00,31-03-2017,5/25/2013-14/RT,2013-2014,M.P.Madhya Kshetra Vidyut Vitran Co.
